04:21:35|INFO   |M3(a) S3=200 sentences, 560 (sentence, op) jobs
04:21:41|INFO   |  dose_job 0/560
04:22:39|INFO   |  dose_job 200/560
04:22:42|INFO   |  dose_job 400/560
04:22:55|INFO   |dose done 82s
04:23:02|INFO   |  real_job 0/700
04:24:02|INFO   |  real_job 200/700
04:24:03|INFO   |  real_job 400/700
04:24:03|INFO   |  real_job 600/700
04:24:06|INFO   |real clusters done 152s
04:24:07|WARNING|[M3b_arb:M3b_arb:15] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:7] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:2] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:14] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:3] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:8] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:13] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:10] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:0] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
04:24:07|WARNING|[M3b_arb:M3b_arb:1] failed: HTTP 403: {"error": {"code": "aii_run_budget_exhausted", "message": "AI Inventor per-run OpenRouter budget reached for Test idea: $7.12 of $7.00 spent by this run in that phase. This is AI Inventor's internal l
